,ouu_det_power,ouu_exp_power,det_exp_power,det_det_power,base_exp_power,base_det_power,ws,dir
122,-60786802.640588306,54635507.349,54590059.522,-60856403.35,54618856.723,-60794591.82346369,12.0,50
123,-56501472.94801007,54000466.868,53422786.742,-57111338.67,53997919.68,-56165898.31409635,12.0,60
124,-57999217.958095476,54241631.377,54027145.759,-58179365.72,54243059.262,-57862861.07528736,12.0,350
125,-58248294.867686264,52695407.52,52545821.433,-58693954.67,52591968.311,-57678648.231431216,12.0,340
126,-52893692.28379781,51150419.153,50311086.745,-54180343.15,51049404.564,-51475866.20876135,12.0,330
127,-58110009.05700061,54273542.772,53865999.363,-58304612.97,54278230.438,-58168893.55316943,12.0,320
128,-60654142.78820986,54880756.313,54839248.394,-60713000.24,54872906.999,-60632402.43670353,12.0,310
129,-57587688.753886595,54504091.236,54106642.021,-58012983.74,54511021.953,-57163881.44592153,12.0,300
130,-59347939.2358134,58364595.393,58354489.54,-59353208.41,58359981.303,-59352987.22090695,13.0,0
131,-60907072.31683341,59280083.303,59273805.548,-60911065.67,59279864.569,-60906761.839492746,13.0,10
132,-61026316.54483419,57459052.505,57475519.576,-61035179.55,57471371.365,-61033871.795518205,13.0,20
133,-57973195.992372066,56222203.519,55427933.325,-59264645.67,56214257.906,-56997568.487932965,13.0,30
134,-59709325.80285618,58655748.916,58461586.926,-59737316.4,58653394.457,-59711988.672876865,13.0,40
135,-61013251.77779343,58946863.818,58950325.068,-61022755.78,58950196.759,-61022410.483477734,13.0,50
136,-60993682.86552256,58585039.614,58570012.456,-61013413.31,58595066.479,-60945276.007175684,13.0,60
137,-59476276.384828515,58627433.879,58415524.605,-59593935.65,58630360.482,-59437968.37838621,13.0,350
138,-61002518.483976774,57531836.897,57552131.523,-61017846.01,57551642.482,-61016592.89162684,13.0,340
139,-58343975.62037837,56504243.317,55767150.352,-59441791.66,56502265.188,-57519352.367069654,13.0,330
140,-59709862.54742213,58688525.756,58499965.105,-59737648.06,58687255.782,-59712220.46660594,13.0,320
141,-61032559.201494455,59070075.111,59072000.247,-61036519.86,59072892.521,-61036369.65232071,13.0,310
142,-60784640.81952528,58846026.493,58763438.732,-60817790.33,58862443.723,-60727120.07560288,13.0,300
143,-61079561.901323974,60173305.573,60173111.42,-61079695.23,60173092.886,-61079694.53360143,14.0,0
144,-61056352.02961096,60407936.08,60408670.613,-61057323.66,60408670.779,-61057323.72337421,14.0,10
145,-61030874.702943884,59610191.713,59615007.337,-61033121.67,59617998.486,-61032157.91141115,14.0,20
146,-61069801.55004174,59064565.458,59062973.427,-61079246.04,59061431.378,-61078954.54198062,14.0,30
147,-61063461.85645838,60194613.498,60194776.738,-61064059.43,60194775.268,-61064056.33364112,14.0,40
148,-61071115.721510984,60322364.526,60323266.48,-61072130.8,60323308.067,-61072126.0965352,14.0,50
149,-61046720.53756386,60214737.918,60218080.743,-61051384.75,60218100.221,-61051309.9217873,14.0,60
150,-61044665.35914499,60168688.517,60169244.28,-61045468.03,60169075.053,-61045369.27551275,14.0,350
151,-61028255.11384013,59690879.476,59696195.251,-61031339.59,59698555.553,-61030322.48438199,14.0,340
152,-61056284.80070224,59242609.026,59241697.788,-61067862.38,59242148.847,-61066896.86535674,14.0,330
153,-61063433.986805886,60206474.47,60206600.286,-61063863.26,60206584.917,-61063860.32324978,14.0,320
154,-61068496.43765667,60355176.719,60355828.048,-61069016.38,60355853.605,-61069010.3172105,14.0,310
155,-61056060.864630364,60286331.934,60290505.469,-61061703.73,60290969.319,-61061473.755221516,14.0,300
156,-61076244.374721915,60565258.463,60565249.697,-61076246.23,60565265.233,-61076227.21046157,15.0,0
