,ws,dir,vss,vssb,vds,vdsb
0,3.0,0,1.0325401018694378,1.0106597051203772,1.0792221002173887,0.9788091554899943
1,3.0,10,1.0012353247372454,1.0026105654174355,1.0010331981584344,1.0013735439074236
2,3.0,20,1.0053951165463828,1.0237462692073187,1.0764072243482121,1.018252677339406
3,3.0,30,1.018277096946757,1.0100414718740176,1.106643546724258,0.9919121964959898
4,3.0,40,1.0033117026296545,1.0081894817883965,1.013122598347388,1.0048616787245255
5,3.0,50,1.0017577960242863,1.0075254650240502,1.0093739311326912,1.0057575484040695
6,3.0,60,1.0130966547803495,1.0024029752069168,1.0628487622637952,0.9894445613624585
7,3.0,350,1.0023972734543247,1.0046012901626922,1.0061172635170474,1.0021987457136352
8,3.0,340,1.0022154023141483,1.014684952883155,1.0474470233803264,1.012441986563182
9,3.0,330,1.0129306890467502,1.0209683261346647,1.140251924278042,1.007935031660931
10,3.0,320,1.0085838704786985,1.003651645190555,1.0048717465214416,0.9951097519675757
11,3.0,310,1.0008776689685936,1.0027858902702511,1.0097808618401483,1.0019065479836549
12,3.0,300,1.0082045053084756,1.0077285863772776,1.0696394945769874,0.9995279539729368
13,4.0,0,1.032850320782191,1.008678092771602,1.086753771972944,0.9765965817851677
14,4.0,10,1.0010400994779245,1.0019920068328743,1.0005702680750024,1.0009509183053167
15,4.0,20,1.0031011274496902,1.0210613534166604,1.0630171038810117,1.01790470120658
16,4.0,30,1.016883370380191,1.0092066198987713,1.119394613852185,0.9924507070279364
17,4.0,40,1.0035013519603404,1.006511791054542,1.0187590424934323,1.0029999352649805
18,4.0,50,1.0017972442080783,1.006186600844329,1.007960247826179,1.0043814820430261
19,4.0,60,1.0113010443146249,1.0025563496640595,1.0570314399312815,0.9913530251948945
20,4.0,350,1.0006879378571196,1.0038791136888874,1.0170900368151916,1.0031889820103175
21,4.0,340,1.0006013107049923,1.0130015367133596,1.0435115475337589,1.012392774100636
22,4.0,330,1.0120035020327045,1.018065063506695,1.139123741671691,1.005989664523705
23,4.0,320,1.0144182246699494,1.0028695228597657,1.0140334417650814,0.9886154432862825
24,4.0,310,1.001191421796136,1.0030325484625608,1.0089135173454653,1.0018389357183282
25,4.0,300,1.0077784022752716,1.0053721778966136,1.0576979446888433,0.997612347741105
26,5.0,0,1.0351045791522306,1.0064489671015042,1.064417856111769,0.9723162155516732
27,5.0,10,1.000722475866353,1.0012394047775752,1.0001970578196893,1.0005165557121867
28,5.0,20,1.0021116555786431,1.0170492028685627,1.054804347224699,1.0149060708023543
29,5.0,30,1.013226250817925,1.0079813930490822,1.1127639978700148,0.994823606509791
30,5.0,40,1.0036635771038835,1.0048501421525793,1.0141736724383241,1.0011822338438539
31,5.0,50,1.0016063020566381,1.00460396333888,1.0048464306064193,1.0029928538549395
32,5.0,60,1.0105192252931519,1.0018048673845457,1.0478206409160649,0.9913763561439634
33,5.0,350,1.000764222194278,1.0028778171019157,1.0168404019941568,1.0021119808849717
34,5.0,340,1.0005261774437655,1.0108192078839446,1.038245759578826,1.010287617327991
35,5.0,330,1.0110192088442551,1.0147468282575132,1.1220663659449994,1.0036869916819082
36,5.0,320,1.0132824540633418,1.0018306255221112,1.012033501276496,0.9886982859563906
37,5.0,310,1.0007658237336627,1.00230970353493,1.0060905988798412,1.0015426983662445
38,5.0,300,1.0071705905493509,1.003071659779414,1.046079977921201,0.9959302517285568
39,6.0,0,1.0302849785750574,1.0049732743765472,1.041570565388605,0.9754323272445282
40,6.0,10,1.0005461881891036,1.0008906751324809,1.0001154274227777,1.0003442988913893
41,6.0,20,1.0021001372217655,1.0137496841733054,1.0440156433262187,1.0116251325779049
42,6.0,30,1.014748859904652,1.0066878178741836,1.0905737113390082,0.9920561211261417
43,6.0,40,1.0039289554079283,1.003406027373041,1.0116939352885508,0.9994791184853565
44,6.0,50,1.0013637249578218,1.0035112182062722,1.0036913874702886,1.002144568646663
45,6.0,60,1.0102944873155215,1.0011696893089235,1.0377848004179713,0.9909681799503394
46,6.0,350,1.0011778092112724,1.0022756287189751,1.0160358340096918,1.0010965280069157
47,6.0,340,1.0003328549434074,1.008453816153895,1.0315404347342478,1.0081182590078448
48,6.0,330,1.0120435527052232,1.0115189565487936,1.0960903702261036,0.9994816466593485
49,6.0,320,1.0128101667277036,1.0013586980544134,1.0104537631322945,0.9886933711276922
50,6.0,310,1.000721320564218,1.0018866884451492,1.0047744638528064,1.0011645278830215
51,6.0,300,1.0071065143950346,1.0019292198652254,1.0357262924622632,0.994859238366739
52,7.0,0,1.0258529400277745,1.0038087491671115,1.0313408803482638,0.9785113538202987
53,7.0,10,1.0004324024664386,1.0006894248438005,1.0000793288120808,1.0002569112882873
54,7.0,20,1.0021584797826453,1.011640729723831,1.03704796536002,1.0094618267793756
55,7.0,30,1.0141185131519534,1.0055981621398655,1.0788186703268128,0.9915982689384044
56,7.0,40,1.0042539590209663,1.0025147822961213,1.0089391984510465,0.9982681903225549
57,7.0,50,1.001248216877047,1.0028564699032234,1.0030672918364052,1.0016062480802141
58,7.0,60,1.0103629316652847,1.0008216846148015,1.0315223986671112,0.9905566141121613
59,7.0,350,1.0013385681974833,1.00163549426942,1.0132269009820114,1.0002965291474502
60,7.0,340,1.0007914540282488,1.007142545426487,1.0269009098235453,1.0063460687765415
61,7.0,330,1.0119199455424277,1.009414422341562,1.0824375552124517,0.9975239906952099
62,7.0,320,1.0121784908255085,1.0010040784660554,1.0081792662840658,0.9889600377198894
63,7.0,310,1.0007248783216987,1.0016094554612278,1.003998772144333,1.0008839363931998
