d1 d2
0 0.0
0 0.00872664625997
0 0.0174532925199
0 0.0261799387799
0 0.0349065850399
0 0.0436332312999
0 0.0523598775598
0 0.0610865238198
0 0.0698131700798
0 0.0785398163397
0 0.0872664625997
0 0.0959931088597
0 0.10471975512
0 0.11344640138
0 0.12217304764
0 0.1308996939
0 0.13962634016
0 0.14835298642
0 0.157079632679
0 0.165806278939
0 0.174532925199
0 0.183259571459
0 0.191986217719
0 0.200712863979
0 0.209439510239
0 0.218166156499
0 0.226892802759
0 0.235619449019
0 0.244346095279
0 0.253072741539
0 0.261799387799
0 0.270526034059
0 0.279252680319
0 0.287979326579
0 0.296705972839
0 0.305432619099
0 0.314159265359
0 0.322885911619
0 0.331612557879
0 0.340339204139
0 0.349065850399
0 0.357792496659
0 0.366519142919
0 0.375245789179
0 0.383972435439
0 0.392699081699
0 0.401425727959
0 0.410152374219
0 0.418879020479
0 0.427605666739
0 0.436332312999
0 0.445058959259
0 0.453785605519
0 0.462512251778
0 0.471238898038
0 0.479965544298
0 0.488692190558
0 0.497418836818
0 0.506145483078
0 0.514872129338
