%experiment	interface	d1	d2
0	UQ_I	0.0	0.0
1	UQ_I	0.0	0.008726646259971648
2	UQ_I	0.0	0.017453292519943295
3	UQ_I	0.0	0.026179938779914945
4	UQ_I	0.0	0.03490658503988659
5	UQ_I	0.0	0.04363323129985824
6	UQ_I	0.0	0.05235987755982989
7	UQ_I	0.0	0.061086523819801536
8	UQ_I	0.0	0.06981317007977318
9	UQ_I	0.0	0.07853981633974483
10	UQ_I	0.0	0.08726646259971647
11	UQ_I	0.0	0.09599310885968812
12	UQ_I	0.0	0.10471975511965978
13	UQ_I	0.0	0.11344640137963143
14	UQ_I	0.0	0.12217304763960307
15	UQ_I	0.0	0.1308996938995747
16	UQ_I	0.0	0.13962634015954636
17	UQ_I	0.0	0.14835298641951802
18	UQ_I	0.0	0.15707963267948966
19	UQ_I	0.0	0.16580627893946132
20	UQ_I	0.0	0.17453292519943295
21	UQ_I	0.0	0.1832595714594046
22	UQ_I	0.0	0.19198621771937624
23	UQ_I	0.0	0.2007128639793479
24	UQ_I	0.0	0.20943951023931956
25	UQ_I	0.0	0.2181661564992912
26	UQ_I	0.0	0.22689280275926285
27	UQ_I	0.0	0.23561944901923448
28	UQ_I	0.0	0.24434609527920614
29	UQ_I	0.0	0.2530727415391778
30	UQ_I	0.0	0.2617993877991494
31	UQ_I	0.0	0.27052603405912107
32	UQ_I	0.0	0.2792526803190927
33	UQ_I	0.0	0.2879793265790644
34	UQ_I	0.0	0.29670597283903605
35	UQ_I	0.0	0.30543261909900765
36	UQ_I	0.0	0.3141592653589793
37	UQ_I	0.0	0.32288591161895097
38	UQ_I	0.0	0.33161255787892263
39	UQ_I	0.0	0.34033920413889424
40	UQ_I	0.0	0.3490658503988659
41	UQ_I	0.0	0.35779249665883756
42	UQ_I	0.0	0.3665191429188092
43	UQ_I	0.0	0.3752457891787809
44	UQ_I	0.0	0.3839724354387525
45	UQ_I	0.0	0.39269908169872414
46	UQ_I	0.0	0.4014257279586958
47	UQ_I	0.0	0.41015237421866746
48	UQ_I	0.0	0.4188790204786391
49	UQ_I	0.0	0.4276056667386107
50	UQ_I	0.0	0.4363323129985824
51	UQ_I	0.0	0.44505895925855404
52	UQ_I	0.0	0.4537856055185257
53	UQ_I	0.0	0.4625122517784973
54	UQ_I	0.0	0.47123889803846897
55	UQ_I	0.0	0.4799655442984406
56	UQ_I	0.0	0.4886921905584123
57	UQ_I	0.0	0.49741883681838395
58	UQ_I	0.0	0.5061454830783556
59	UQ_I	0.0	0.5148721293383273
60	UQ_I	0.0	0.5235987755982988
