,speed,direction,probability
0,3.0,300.0,0.002365588494726823
1,4.0,300.0,0.00354342819279264
2,5.0,300.0,0.0041744155888967256
3,6.0,300.0,0.003944495990560263
4,7.0,300.0,0.0029821949320715507
5,8.0,300.0,0.0017812492814216214
6,9.0,300.0,0.0008255143794498141
7,10.0,300.0,0.0002906436900064969
8,11.0,300.0,7.596791166352321e-05
9,12.0,300.0,1.4387659027976005e-05
10,13.0,300.0,1.9254504613137844e-06
11,14.0,300.0,1.7745619010192104e-07
12,15.0,300.0,1.0972731151549701e-08
13,3.0,310.0,0.0019409106298187767
14,4.0,310.0,0.00314940605446356
15,5.0,310.0,0.004233237039333142
16,6.0,310.0,0.004869751545925736
17,7.0,310.0,0.004844952165701482
18,8.0,310.0,0.004170128595202484
19,9.0,310.0,0.0030894919408238045
20,10.0,310.0,0.001954162613797097
21,11.0,310.0,0.001044721099027049
22,12.0,310.0,0.0004667636094292383
23,13.0,310.0,0.00017217713431040536
24,14.0,310.0,5.177301424650549e-05
25,15.0,310.0,1.2524557920719356e-05
26,3.0,320.0,0.0027749457099952137
27,4.0,320.0,0.004563213337854102
28,5.0,320.0,0.006269971875277951
29,6.0,320.0,0.007453287241003134
30,7.0,320.0,0.007762742644953176
31,8.0,320.0,0.007101266401169983
32,9.0,320.0,0.005689178260670828
33,10.0,320.0,0.003967840256554397
34,11.0,320.0,0.0023901170327948183
35,12.0,320.0,0.0012321820069575498
36,13.0,320.0,0.0005382519380755053
37,14.0,320.0,0.00019713259782990598
38,15.0,320.0,5.987069686343678e-05
39,3.0,330.0,0.011285705359283273
40,4.0,330.0,0.017045595104463674
41,5.0,330.0,0.02035718580362804
42,6.0,330.0,0.01963203086003417
43,7.0,330.0,0.015270847550635753
44,8.0,330.0,0.009473066771932662
45,9.0,330.0,0.004608911031683701
46,10.0,330.0,0.0017242291997552226
47,11.0,330.0,0.0004853566156569376
48,12.0,330.0,0.00010047024263597004
49,13.0,330.0,1.4934810517607643e-05
50,14.0,330.0,1.5558427646715183e-06
51,15.0,330.0,1.1080700831214646e-07
52,3.0,340.0,0.016162810856480993
53,4.0,340.0,0.024602028347226256
54,5.0,340.0,0.02976002981508261
55,6.0,340.0,0.029253013652074847
56,7.0,340.0,0.023368872492029066
57,8.0,340.0,0.015019673515764649
58,9.0,340.0,0.007647792891094422
59,10.0,340.0,0.0030284463860987213
60,11.0,340.0,0.0009137738527400636
61,12.0,340.0,0.00020557980975776673
62,13.0,340.0,3.3718395140939085e-05
63,14.0,340.0,3.939694677861399e-06
64,15.0,340.0,3.202918317854629e-07
65,3.0,350.0,0.007296010154039011
66,4.0,350.0,0.011696786360854581
67,5.0,350.0,0.015412329483602561
68,6.0,350.0,0.017211155792889246
69,7.0,350.0,0.016428576842714697
70,8.0,350.0,0.013381868161395864
71,9.0,350.0,0.009236571445188984
72,10.0,350.0,0.00534798747267531
73,11.0,350.0,0.002566465754688255
74,12.0,350.0,0.0010073652024903633
75,13.0,350.0,0.0003188743936638592
76,14.0,350.0,8.021418059788886e-05
77,15.0,350.0,1.5794755199400077e-05
78,3.0,0.0,0.0032348510496979614
79,4.0,0.0,0.0052490100907726005
80,5.0,0.0,0.007055395065555237
81,6.0,0.0,0.008116252576542894
82,7.0,0.0,0.008074920276169137
83,8.0,0.0,0.0069502143253374745
84,9.0,0.0,0.005149153234706341
85,10.0,0.0,0.0032569376896618286
86,11.0,0.0,0.0017412018317117485
87,12.0,0.0,0.0007779393490487305
88,13.0,0.0,0.0002869618905173423
89,14.0,0.0,8.628835707750916e-05
90,15.0,0.0,2.087426320119893e-05
91,3.0,10.0,0.007296010154039011
92,4.0,10.0,0.011696786360854581
93,5.0,10.0,0.015412329483602561
94,6.0,10.0,0.017211155792889246
95,7.0,10.0,0.016428576842714697
96,8.0,10.0,0.013381868161395864
97,9.0,10.0,0.009236571445188984
98,10.0,10.0,0.00534798747267531
99,11.0,10.0,0.002566465754688255
100,12.0,10.0,0.0010073652024903633
101,13.0,10.0,0.0003188743936638592
102,14.0,10.0,8.021418059788886e-05
103,15.0,10.0,1.5794755199400077e-05
104,3.0,20.0,0.008266560715976829
105,4.0,20.0,0.013064651067375588
106,5.0,20.0,0.016813744605223082
107,6.0,20.0,0.018127480558485492
108,7.0,20.0,0.01647472682034558
109,8.0,20.0,0.012571259072551114
110,9.0,20.0,0.007979262064101897
111,10.0,20.0,0.004160750223063989
112,11.0,20.0,0.0017570283099239649
113,12.0,20.0,0.0005915864441426904
114,13.0,20.0,0.00015622773254286092
115,14.0,20.0,3.181334612405484e-05
116,15.0,20.0,4.909040142849301e-06
117,3.0,30.0,0.006306303335831038
118,4.0,30.0,0.009857340093773235
119,5.0,30.0,0.012457546731166861
120,6.0,30.0,0.01307162137385075
121,7.0,30.0,0.01143866926536445
122,8.0,30.0,0.008299773090681892
123,9.0,30.0,0.004938201208743738
124,10.0,30.0,0.0023752444488692585
125,11.0,30.0,0.0009088277937621847
126,12.0,30.0,0.0002718606467321506
127,13.0,30.0,6.243012789071298e-05
128,14.0,30.0,1.0800892340385962e-05
129,15.0,30.0,1.3809909933506206e-06
130,3.0,40.0,0.007602091559471178
131,4.0,40.0,0.012132840165048968
132,5.0,40.0,0.015868886630060784
133,6.0,40.0,0.01752620812155377
134,7.0,40.0,0.016473225016121047
135,8.0,40.0,0.013145608540424467
136,9.0,40.0,0.008837471105104706
137,10.0,40.0,0.004951221577154628
138,11.0,40.0,0.0022824287374917647
139,12.0,40.0,0.000853703328036529
140,13.0,40.0,0.0002552701047675203
141,14.0,40.0,6.008654722688915e-05
142,15.0,40.0,1.0958567537752055e-05
143,3.0,50.0,0.004040130617819708
144,4.0,50.0,0.006790014769291986
145,5.0,50.0,0.009670749994667131
146,6.0,50.0,0.012128484123854071
147,7.0,50.0,0.013612607941628592
148,8.0,50.0,0.013755193813278289
149,9.0,50.0,0.012521500805822445
150,10.0,50.0,0.01024335041887228
151,11.0,50.0,0.007497681579345919
152,12.0,50.0,0.004882874118055689
153,13.0,50.0,0.0028111619746425307
154,14.0,50.0,0.0014206888539278816
155,15.0,50.0,0.000625560988793493
156,3.0,60.0,0.001099548127920002
157,4.0,60.0,0.001858015512424818
158,5.0,60.0,0.0026701104086580075
159,6.0,60.0,0.003393746266084183
160,7.0,60.0,0.003880734794906911
161,8.0,60.0,0.004019923546132665
162,9.0,60.0,0.0037778721089301056
163,10.0,60.0,0.0032160047741400617
164,11.0,60.0,0.00247122395485763
165,12.0,60.0,0.0017060055316164043
166,13.0,60.0,0.0010522103597915993
167,14.0,60.0,0.0005762383307995188
168,15.0,60.0,0.00027836628373809405
