,nacelleOffset,WS1_90m_mean,ApparentPower_mean,WS1_90m_std,WD_Nacelle_mean,offset
0,0.0398230200521,5.35280808,179.475296202,0.497687373111,-2.038133772,0.0
1,0.00922039791667,5.56784445333,187.255417637,0.398599225373,-0.057574416,0.0
2,-0.0320695604167,4.38202989333,93.8821790968,0.0686426477438,-5.489501716,0.0
3,-0.0229928885417,4.44063001333,50.4573006942,0.148937441563,2.195754778,0.0
5,-0.0152243252604,4.14668152,74.3992271085,0.215840220142,3.254948077,0.0
6,0.0619451830729,4.15836092,72.4809155914,0.283095003391,2.059474399,0.0
7,-0.0229593596252,3.99352118079,62.474937776,0.173885538552,4.470414559,0.0
9,-0.0378181192708,3.81383554667,69.0362959707,0.158353470432,5.188861861,0.0
10,0.0313158648438,4.05866285333,68.7610294002,0.335721627196,2.132893901,0.0
11,-0.0336446299479,4.09481821333,68.7551965859,0.241925380857,3.589396146,0.0
13,0.0391645164063,4.17775888,54.4601468882,0.239665287329,-0.576095544,0.0
14,-0.0435310833333,4.35738466667,56.7035852231,0.0954237548658,-3.747448179,0.0
15,0.0202369859375,4.50925072,52.8643863346,0.161665910032,-0.317258894,0.0
16,0.0294560369792,4.53822917333,56.061357291,0.147077127817,-3.395419588,0.0
17,0.0219633333333,4.07464162667,50.5440977484,0.13865359642,-5.905006228,0.0
22,0.0415582661458,3.91769757333,76.9552593146,0.124777494228,5.770609529,0.0
26,0.0254071294271,4.97182266667,59.8132366264,0.0563873945579,4.285934927,0.0
36,0.0733533138021,5.71835637333,137.086125042,0.0921876659471,2.259083943,0.0
37,-0.0196290263822,5.55032283522,138.307033314,0.0596416847882,2.941470707,0.0
38,0.0274360325521,4.86687733333,66.9420652,0.0931892661138,4.997252542,0.0
39,0.0309955117187,4.94812533333,63.9516790626,0.0749816601416,1.119431284,0.0
40,0.0480446402919,5.43953206529,131.452154924,0.0896834366861,2.103206665,0.0
41,0.0461855890625,5.00865509333,87.4923845504,0.0816408296548,-1.218974458,0.0
42,0.00470875807292,5.02849314667,85.3190067418,0.0624416640438,0.348804887,0.0
43,0.0315739270833,4.99220237333,83.9839681162,0.0831229653362,3.43113455,0.0
44,-0.00540016276042,5.29898128,119.457668433,0.111862002185,0.938067635,0.0
45,0.00435281015625,4.92524048,82.8275224728,0.0399935897796,5.389037599,0.0
46,-0.0095024625,4.87791352,80.0965766101,0.0753579109922,4.370391783,0.0
47,0.0626659776042,4.89565266667,78.9273051498,0.0486048783758,4.071398015,0.0
48,-0.0290618005208,5.01576429333,78.3844985678,0.0641007855265,3.903331412,0.0
50,0.0554135388021,5.10425690667,90.320672559,0.0585530600995,5.834509465,0.0
51,0.0538918614583,5.04047722667,83.2234107484,0.0640293615483,4.435820443,0.0
52,0.0587772466146,4.97690066667,71.6002311608,0.0552315293445,1.271830581,0.0
